System Time: 2025-03-05 04:05:12 | | INITIAL | | Machine 0 initialized with clock speed 2 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:05:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:05:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-05 04:05:13 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 3
System Time: 2025-03-05 04:05:13 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 4
System Time: 2025-03-05 04:05:14 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 6
System Time: 2025-03-05 04:05:14 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 04:05:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 04:05:15 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 12
System Time: 2025-03-05 04:05:15 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 12
System Time: 2025-03-05 04:05:16 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 13
System Time: 2025-03-05 04:05:16 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 14
System Time: 2025-03-05 04:05:17 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 17
System Time: 2025-03-05 04:05:17 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 17
System Time: 2025-03-05 04:05:18 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-05 04:05:18 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 32
System Time: 2025-03-05 04:05:19 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 32
System Time: 2025-03-05 04:05:19 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 33
System Time: 2025-03-05 04:05:20 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 34
System Time: 2025-03-05 04:05:20 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 35
System Time: 2025-03-05 04:05:22 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 37
System Time: 2025-03-05 04:05:22 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 37
System Time: 2025-03-05 04:05:23 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 39
System Time: 2025-03-05 04:05:23 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 39
System Time: 2025-03-05 04:05:24 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 43
System Time: 2025-03-05 04:05:24 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 43
System Time: 2025-03-05 04:05:25 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 47
System Time: 2025-03-05 04:05:25 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 47
System Time: 2025-03-05 04:05:26 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 48
System Time: 2025-03-05 04:05:26 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 48
