System Time: 2025-03-05 15:38:38 | | INITIAL | | Machine 0 initialized with clock speed 1 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 15:38:38 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 15:38:39 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-05 15:38:40 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 2
System Time: 2025-03-05 15:38:41 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 3
System Time: 2025-03-05 15:38:42 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 4
System Time: 2025-03-05 15:38:43 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 5
System Time: 2025-03-05 15:38:44 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 6
System Time: 2025-03-05 15:38:45 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 7
System Time: 2025-03-05 15:38:46 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 8
System Time: 2025-03-05 15:38:47 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 9
System Time: 2025-03-05 15:38:48 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 10
System Time: 2025-03-05 15:38:49 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 15:38:50 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 12
System Time: 2025-03-05 15:38:51 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 13
System Time: 2025-03-05 15:38:52 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 14
System Time: 2025-03-05 15:38:53 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 15
System Time: 2025-03-05 15:38:54 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 16
System Time: 2025-03-05 15:38:55 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 17
System Time: 2025-03-05 15:38:56 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-05 15:38:57 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 19
System Time: 2025-03-05 15:38:57 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 19
System Time: 2025-03-05 15:38:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 20
System Time: 2025-03-05 15:38:59 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 21
System Time: 2025-03-05 15:39:00 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 22
System Time: 2025-03-05 15:39:01 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 23
System Time: 2025-03-05 15:39:02 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 24
System Time: 2025-03-05 15:39:03 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 25
System Time: 2025-03-05 15:39:04 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 26
System Time: 2025-03-05 15:39:05 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 27
System Time: 2025-03-05 15:39:06 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 28
System Time: 2025-03-05 15:39:07 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 29
System Time: 2025-03-05 15:39:08 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 30
System Time: 2025-03-05 15:39:09 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 31
System Time: 2025-03-05 15:39:10 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 32
System Time: 2025-03-05 15:39:11 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 33
System Time: 2025-03-05 15:39:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 34
System Time: 2025-03-05 15:39:13 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 35
System Time: 2025-03-05 15:39:14 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 36
System Time: 2025-03-05 15:39:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 37
System Time: 2025-03-05 15:39:16 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 38
System Time: 2025-03-05 15:39:17 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 39
System Time: 2025-03-05 15:39:17 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 39
System Time: 2025-03-05 15:39:18 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 40
System Time: 2025-03-05 15:39:19 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 41
System Time: 2025-03-05 15:39:20 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 42
System Time: 2025-03-05 15:39:21 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 43
System Time: 2025-03-05 15:39:22 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 44
System Time: 2025-03-05 15:39:23 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 45
